Организация;;;;;;Начальный остаток;Приход;Расход;Конечный остаток
Склад;;;;;;Количество;Количество;Количество;Количество
Источник финансирования;;;;;;;;;
Номенклатура;;;;;Ед. изм.;;;;
Серия номенклатуры, Партия;;;;;;;;;
Регистратор;;;;;;;;;
Отпуск в отделение 0000-000190 от 07.05.2024 11:06:49;;;;;;364,000;;28,000;336,000
Отпуск в отделение 0000-000202 от 20.05.2024 9:36:32;;;;;;336,000;;56,000;280,000
Отпуск в отделение 0000-000213 от 22.05.2024 9:22:30;;;;;;280,000;;28,000;252,000
Отпуск в отделение 0000-000214 от 23.05.2024 13:10:14;;;;;;252,000;;28,000;224,000
Отпуск в отделение 0000-000220 от 27.05.2024 10:15:42;;;;;;224,000;;28,000;196,000
Отпуск в отделение 0000-000224 от 29.05.2024 10:48:28;;;;;;196,000;;28,000;168,000
Отпуск в отделение 0000-000227 от 03.06.2024 9:38:13;;;;;;168,000;;56,000;112,000
Отпуск в отделение 0000-000235 от 07.06.2024 14:26:49;;;;;;112,000;;28,000;84,000
Отпуск в отделение 0000-000237 от 10.06.2024 9:49:51;;;;;;84,000;;28,000;56,000
Отпуск в отделение 0000-000243 от 14.06.2024 11:14:03;;;;;;56,000;;28,000;28,000
Отпуск в отделение 0000-000245 от 18.06.2024 10:51:43;;;;;;28,000;;28,000;
5410723 до 31.07.26, <партии не учитываются>;;;;;;;504,000;504,000;
Поступление товаров 0000-000009 от 15.03.2024 11:42:40;;;;;;;504,000;;504,000
Отпуск в отделение 0000-000101 от 15.03.2024 11:45:58;;;;;;504,000;;56,000;448,000
Отпуск в отделение 0000-000137 от 08.04.2024 11:02:57;;;;;;448,000;;56,000;392,000
Отпуск в отделение 0000-000163 от 19.04.2024 9:15:21;;;;;;392,000;;28,000;364,000
Отпуск в отделение 0000-000184 от 06.05.2024 10:38:18;;;;;;364,000;;56,000;308,000
Отпуск в отделение 0000-000245 от 18.06.2024 10:51:43;;;;;;308,000;;28,000;280,000
Отпуск в отделение 0000-000249 от 19.06.2024 10:24:16;;;;;;280,000;;56,000;224,000
Отпуск в отделение 0000-000251 от 20.06.2024 9:03:18;;;;;;224,000;;28,000;196,000
Отпуск в отделение 0000-000259 от 24.06.2024 11:19:16;;;;;;196,000;;28,000;168,000
Отпуск в отделение 0000-000267 от 01.07.2024 9:04:14;;;;;;168,000;;56,000;112,000
Отпуск в отделение 0000-000275 от 05.07.2024 10:53:58;;;;;;112,000;;28,000;84,000
Отпуск в отделение 0000-000276 от 05.07.2024 11:22:28;;;;;;84,000;;28,000;56,000
Отпуск в отделение 0000-000288 от 15.07.2024 10:19:45;;;;;;56,000;;56,000;
Натрия хлорид, р-р д/инф. 0.9 %, бан. 200 мл, пач. картон. 28Мосфарм 05.24;;;;;бан. 200 см3;;4 284,000;2 884,000;1 400,000
0390324 до 31.03.29, <партии не учитываются>;;;;;;;1 456,000;196,000;1 260,000
Поступление товаров 0000-000038 от 29.05.2024 14:13:58;;;;;;;728,000;;728,000
Поступление товаров 0000-000039 от 31.05.2024 15:25:16;;;;;;728,000;728,000;;1 456,000
Отпуск в отделение 0000-000294 от 17.07.2024 10:55:10;;;;;;1 456,000;;56,000;1 400,000
Отпуск в отделение 0000-000349 от 23.08.2024 11:12:30;;;;;;1 400,000;;28,000;1 372,000
Отпуск в отделение 0000-000351 от 26.08.2024 9:57:40;;;;;;1 372,000;;28,000;1 344,000
Отпуск в отделение 0000-000365 от 05.09.2024 13:17:07;;;;;;1 344,000;;56,000;1 288,000
Отпуск в отделение 0000-000368 от 09.09.2024 9:52:34;;;;;;1 288,000;;28,000;1 260,000
0400324 до 31.03.29, <партии не учитываются>;;;;;;;2 324,000;2 184,000;140,000
Поступление товаров 0000-000038 от 29.05.2024 14:13:58;;;;;;;868,000;;868,000
Отпуск в отделение 0000-000225 от 29.05.2024 14:40:03;;;;;;868,000;;532,000;336,000
Поступление товаров 0000-000039 от 31.05.2024 15:25:16;;;;;;336,000;1 372,000;;1 708,000
Отпуск в отделение 0000-000296 от 17.07.2024 11:41:19;;;;;;1 708,000;;28,000;1 680,000
Отпуск в отделение 0000-000299 от 19.07.2024 11:00:13;;;;;;1 680,000;;28,000;1 652,000
Отпуск в отделение 0000-000302 от 22.07.2024 13:07:35;;;;;;1 652,000;;56,000;1 596,000
Отпуск в отделение 0000-000306 от 26.07.2024 9:58:17;;;;;;1 596,000;;28,000;1 568,000
Отпуск в отделение 0000-000314 от 02.08.2024 14:51:50;;;;;;1 568,000;;28,000;1 540,000
Отпуск в отделение 0000-000316 от 05.08.2024 11:01:37;;;;;;1 540,000;;84,000;1 456,000
Отпуск в отделение 0000-000321 от 07.08.2024 11:08:47;;;;;;1 456,000;;28,000;1 428,000
Поступление товаров 0000-000072 от 12.08.2024 14:32:10;;;;;;1 428,000;84,000;;1 512,000
Отпуск в отделение 0000-000335 от 14.08.2024 10:08:22;;;;;;1 512,000;;28,000;1 484,000
Отпуск в отделение 0000-000341 от 19.08.2024 10:02:10;;;;;;1 484,000;;28,000;1 456,000
Отпуск в отделение 0000-000382 от 19.09.2024 8:21:45;;;;;;1 456,000;;28,000;1 428,000
Отпуск в отделение 0000-000407 от 10.10.2024 10:54:04;;;;;;1 428,000;;56,000;1 372,000
Отпуск в отделение 0000-000415 от 16.10.2024 10:47:19;;;;;;1 372,000;;28,000;1 344,000
Отпуск в отделение 0000-000417 от 18.10.2024 11:13:47;;;;;;1 344,000;;56,000;1 288,000
Отпуск в отделение 0000-000420 от 21.10.2024 10:57:24;;;;;;1 288,000;;28,000;1 260,000
Отпуск в отделение 0000-000426 от 23.10.2024 10:47:42;;;;;;1 260,000;;28,000;1 232,000
Отпуск в отделение 0000-000430 от 25.10.2024 9:45:24;;;;;;1 232,000;;28,000;1 204,000
Отпуск в отделение 0000-000433 от 28.10.2024 10:31:12;;;;;;1 204,000;;28,000;1 176,000
Отпуск в отделение 0000-000443 от 06.11.2024 8:28:34;;;;;;1 176,000;;56,000;1 120,000
Отпуск в отделение 0000-000451 от 08.11.2024 15:19:40;;;;;;1 120,000;;28,000;1 092,000
Отпуск в отделение 0000-000454 от 11.11.2024 10:54:33;;;;;;1 092,000;;56,000;1 036,000
Отпуск в отделение 0000-000459 от 15.11.2024 10:57:47;;;;;;1 036,000;;56,000;980,000
Отпуск в отделение 0000-000463 от 18.11.2024 11:15:35;;;;;;980,000;;56,000;924,000
Отпуск в отделение 0000-000477 от 27.11.2024 13:06:55;;;;;;924,000;;56,000;868,000
Отпуск в отделение 0000-000483 от 02.12.2024 9:12:54;;;;;;868,000;;56,000;812,000
Отпуск в отделение 0000-000487 от 03.12.2024 11:22:36;;;;;;812,000;;28,000;784,000
Отпуск в отделение 0000-000492 от 04.12.2024 15:36:06;;;;;;784,000;;28,000;756,000
Отпуск в отделение 0000-000495 от 06.12.2024 11:07:16;;;;;;756,000;;28,000;728,000
Отпуск в отделение 0000-000499 от 09.12.2024 10:48:28;;;;;;728,000;;28,000;700,000
Отпуск в отделение 0000-000502 от 10.12.2024 11:09:59;;;;;;700,000;;56,000;644,000
Отпуск в отделение 0000-000505 от 13.12.2024 9:22:52;;;;;;644,000;;28,000;616,000
Отпуск в отделение 0000-000508 от 16.12.2024 9:25:15;;;;;;616,000;;28,000;588,000
Отпуск в отделение 0000-000513 от 18.12.2024 9:09:40;;;;;;588,000;;56,000;532,000
Отпуск в отделение 0000-000517 от 23.12.2024 11:26:55;;;;;;532,000;;28,000;504,000
Отпуск в отделение 0000-000518 от 23.12.2024 13:51:58;;;;;;504,000;;56,000;448,000
Отпуск в отделение 0000-000520 от 24.12.2024 10:56:12;;;;;;448,000;;56,000;392,000
Отпуск в отделение 0000-000521 от 24.12.2024 13:18:00;;;;;;392,000;;56,000;336,000
Отпуск в отделение 0000-000523 от 25.12.2024 10:47:34;;;;;;336,000;;56,000;280,000
Отпуск в отделение 0000-000531 от 27.12.2024 13:33:59;;;;;;280,000;;140,000;140,000
0410424 до 30.04.29, <партии не учитываются>;;;;;;;504,000;504,000;
Поступление товаров 0000-000072 от 12.08.2024 14:32:10;;;;;;;504,000;;504,000
Отпуск в отделение 0000-000329 от 12.08.2024 14:33:21;;;;;;504,000;;56,000;448,000
Отпуск в отделение 0000-000331 от 12.08.2024 14:45:46;;;;;;448,000;;28,000;420,000
Отпуск в отделение 0000-000355 от 28.08.2024 10:42:57;;;;;;420,000;;28,000;392,000
Отпуск в отделение 0000-000360 от 02.09.2024 9:34:07;;;;;;392,000;;56,000;336,000
Отпуск в отделение 0000-000372 от 11.09.2024 10:22:00;;;;;;336,000;;56,000;280,000
Отпуск в отделение 0000-000377 от 16.09.2024 10:13:06;;;;;;280,000;;28,000;252,000
Отпуск в отделение 0000-000388 от 23.09.2024 11:04:17;;;;;;252,000;;28,000;224,000
Отпуск в отделение 0000-000392 от 27.09.2024 10:45:06;;;;;;224,000;;56,000;168,000
Отпуск в отделение 0000-000400 от 04.10.2024 10:35:07;;;;;;168,000;;28,000;140,000
Отпуск в отделение 0000-000402 от 08.10.2024 9:37:04;;;;;;140,000;;56,000;84,000
Отпуск в отделение 0000-000436 от 01.11.2024 13:39:05;;;;;;84,000;;28,000;56,000
Отпуск в отделение 0000-000441 от 05.11.2024 11:19:00;;;;;;56,000;;28,000;28,000
Отпуск в отделение 0000-000443 от 06.11.2024 8:28:34;;;;;;28,000;;28,000;
Натрия хлорид, растворит. д/лек. форм д/ин. 0.9 %, амп. 10 мл № 10 Армавир.03.24;;;;;амп. 10 мл;;5 000,000;5 000,000;
010124 до 31.01.29, <партии не учитываются>;;;;;;;4 350,000;4 350,000;
Поступление товаров 0000-000008 от 11.03.2024 13:22:28;;;;;;;4 350,000;;4 350,000
Отпуск в отделение 0000-000094 от 11.03.2024 13:26:13;;;;;;4 350,000;;450,000;3 900,000
Отпуск в отделение 0000-000095 от 11.03.2024 13:38:14;;;;;;3 900,000;;1 300,000;2 600,000
Отпуск в отделение 0000-000098 от 13.03.2024 14:33:49;;;;;;2 600,000;;650,000;1 950,000
Отпуск в отделение 0000-000103 от 15.03.2024 13:03:19;;;;;;1 950,000;;650,000;1 300,000
Отпуск в отделение 0000-000104 от 18.03.2024 8:53:59;;;;;;1 300,000;;650,000;650,000
Отпуск в отделение 0000-000112 от 22.03.2024 13:16:04;;;;;;650,000;;650,000;
040124 до 31.01.29, <партии не учитываются>;;;;;;;650,000;650,000;
Поступление товаров 0000-000008 от 11.03.2024 13:22:28;;;;;;;650,000;;650,000
Отпуск в отделение 0000-000097 от 13.03.2024 9:48:46;;;;;;650,000;;650,000;
Натрия хлорид, растворит. д/лек. форм д/ин. 0.9 %, амп. 10 мл, пач. картон. 10 Эском Неро;;;;;амп. 10 мл;5800,00;;5 800,000;
090723 до 31.07.25, <партии не учитываются>;;;;;;5 800,000;;5 800,000;
Отпуск в отделение 0000-000008 от 12.01.2024 10:36:41;;;;;;5 800,000;;420,000;5 380,000
Отпуск в отделение 0000-000019 от 17.01.2024 10:01:43;;;;;;5 380,000;;1 260,000;4 120,000
Отпуск в отделение 0000-000022 от 22.01.2024 8:59:29;;;;;;4 120,000;;420,000;3 700,000
Отпуск в отделение 0000-000025 от 22.01.2024 10:27:48;;;;;;3 700,000;;420,000;3 280,000
Отпуск в отделение 0000-000032 от 29.01.2024 10:15:01;;;;;;3 280,000;;840,000;2 440,000
Отпуск в отделение 0000-000039 от 05.02.2024 10:20:27;;;;;;2 440,000;;840,000;1 600,000
Отпуск в отделение 0000-000042 от 07.02.2024 9:45:49;;;;;;1 600,000;;420,000;1 180,000
Отпуск в отделение 0000-000050 от 09.02.2024 10:15:35;;;;;;1 180,000;;420,000;760,000
Отпуск в отделение 0000-000052 от 12.02.2024 10:08:46;;;;;;760,000;;420,000;340,000
Отпуск в отделение 0000-000063 от 21.02.2024 9:44:05;;;;;;340,000;;200,000;140,000
Отпуск в отделение 0000-000066 от 21.02.2024 10:30:11;;;;;;140,000;;140,000;
Нитроспрей, спрей подъязычн. доз. 0.4 мг/доза, с нас.-распыл., 200 доз(а), 10 мл, N 1 Фармстандарт-Л;;;;;фл. п/пропилен. 10 мл;36,00;70,000;106,000;
441223 до 01.01.27, <партии не учитываются>;;;;;;;70,000;70,000;
Поступление товаров 0000-000018 от 09.04.2024 9:18:40;;;;;;;70,000;;70,000
Отпуск в отделение 0000-000139 от 09.04.2024 9:46:12;;;;;;70,000;;25,000;45,000
Отпуск в отделение 0000-000175 от 26.04.2024 10:21:39;;;;;;45,000;;10,000;35,000
Отпуск в отделение 0000-000227 от 03.06.2024 9:38:13;;;;;;35,000;;10,000;25,000
Отпуск в отделение 0000-000251 от 20.06.2024 9:03:18;;;;;;25,000;;10,000;15,000
Отпуск в отделение 0000-000259 от 24.06.2024 11:19:16;;;;;;15,000;;4,000;11,000
Отпуск в отделение 0000-000275 от 05.07.2024 10:53:58;;;;;;11,000;;4,000;7,000
Отпуск в отделение 0000-000346 от 22.08.2024 11:21:57;;;;;;7,000;;5,000;2,000
Отпуск в отделение 0000-000531 от 27.12.2024 13:33:59;;;;;;2,000;;2,000;
90323 до 01.04.26, <партии не учитываются>;;;;;;36,000;;36,000;
Отпуск в отделение 0000-000019 от 17.01.2024 10:01:43;;;;;;36,000;;5,000;31,000
Отпуск в отделение 0000-000058 от 16.02.2024 10:39:07;;;;;;31,000;;5,000;26,000
Отпуск в отделение 0000-000078 от 04.03.2024 9:12:23;;;;;;26,000;;10,000;16,000
Отпуск в отделение 0000-000085 от 06.03.2024 10:08:58;;;;;;16,000;;10,000;6,000
Отпуск в отделение 0000-000126 от 02.04.2024 15:21:09;;;;;;6,000;;6,000;
Нитроспрей, спрей подъязычн. доз. 0.4 мг/доза, фл. с доз. насосом 200, пач. картон. 1;;;;;пач. картон. 200;;100,000;43,000;57,000
130424 до 31.03.27, <партии не учитываются>;;;;;;;100,000;43,000;57,000
Поступление товаров 0000-000083 от 06.09.2024 15:51:52;;;;;;;100,000;;100,000
Отпуск в отделение 0000-000407 от 10.10.2024 10:54:04;;;;;;100,000;;10,000;90,000
Отпуск в отделение 0000-000438 от 02.11.2024 14:01:12;;;;;;90,000;;10,000;80,000
Отпуск в отделение 0000-000467 от 20.11.2024 10:53:40;;;;;;80,000;;5,000;75,000
Отпуск в отделение 0000-000531 от 27.12.2024 13:33:59;;;;;;75,000;;18,000;57,000
Нифедипин, табл. п.п.о. 10 мг, N 50 Озон Фарм ООО 02.25;;;;;шт;100,00;5 000,000;5 100,000;
040123 до 31.12.25, <партии не учитываются>;;;;;;100,000;;100,000;
Отпуск в отделение 0000-000017 от 16.01.2024 15:20:56;;;;;;100,000;;50,000;50,000
Отпуск в отделение 0000-000028 от 26.01.2024 9:59:46;;;;;;50,000;;50,000;
170723 до 30.06.26, <партии не учитываются>;;;;;;;1 400,000;1 400,000;
Поступление товаров 0000-000021 от 09.04.2024 9:41:50;;;;;;;1 400,000;;1 400,000
Отпуск в отделение 0000-000140 от 09.04.2024 11:08:04;;;;;;1 400,000;;1 000,000;400,000
Отпуск в отделение 0000-000144 от 11.04.2024 13:51:53;;;;;;400,000;;250,000;150,000
Отпуск в отделение 0000-000235 от 07.06.2024 14:26:49;;;;;;150,000;;150,000;
221223 до 30.11.26, <партии не учитываются>;;;;;;;3 600,000;3 600,000;
Поступление товаров 0000-000021 от 09.04.2024 9:41:50;;;;;;;3 600,000;;3 600,000
Отпуск в отделение 0000-000142 от 11.04.2024 13:37:08;;;;;;3 600,000;;150,000;3 450,000
Отпуск в отделение 0000-000146 от 11.04.2024 14:20:07;;;;;;3 450,000;;500,000;2 950,000
Отпуск в отделение 0000-000214 от 23.05.2024 13:10:14;;;;;;2 950,000;;500,000;2 450,000
Отпуск в отделение 0000-000235 от 07.06.2024 14:26:49;;;;;;2 450,000;;100,000;2 350,000
Отпуск в отделение 0000-000237 от 10.06.2024 9:49:51;;;;;;2 350,000;;500,000;1 850,000
